,entities,text,created_at,id,public_metrics,context_annotations
10,"{'mentions': [{'start': 0, 'end': 14, 'username': 'chrisvvfollis'}, {'start': 15, 'end': 26, 'username': 'paulpierre'}, {'start': 27, 'end': 39, 'username': 'theallinpod'}, {'start': 40, 'end': 46, 'username': 'Jason'}, {'start': 47, 'end': 55, 'username': 'chamath'}, {'start': 56, 'end': 67, 'username': 'DavidSacks'}, {'start': 68, 'end': 80, 'username': 'origincloth'}]}",@chrisvvfollis @paulpierre @theallinpod @Jason @chamath @DavidSacks @origincloth yeah 4 jokers would be more appropriate,2020-12-14T22:32:31.000Z,1338612863515029505,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 16, 'quote_count': 0}",
11,"{'annotations': [{'start': 57, 'end': 64, 'probability': 0.5583, 'type': 'Organization', 'normalized_text': 'stanford'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'sujayjaswa'}]}","@sujayjaswa i think it’s gonna take a lot more than cal, stanford and ucsf to preserve the quality of the tech ecosystem in bay area. but there are some institutional anchors with strong network effects",2020-12-13T20:14:18.000Z,1338215693469118465,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 29, 'quote_count': 0}",
12,"{'mentions': [{'start': 0, 'end': 9, 'username': 'Prh2112K'}]}","@Prh2112K i guess i know wealthy/connected people and haven’t personally heard of this. also, administration sites need to get approved and there are federal guidelines they must follow when they receive their allocations. we just need to 10-50x the # of doses asap so everyone can get vax",2020-12-13T17:53:36.000Z,1338180282071969797,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
13,"{'mentions': [{'start': 0, 'end': 9, 'username': 'AxieKing'}]}",@AxieKing they always find a target. no worries,2020-12-13T17:37:49.000Z,1338176310300921856,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 19, 'quote_count': 0}",
14,"{'annotations': [{'start': 33, 'end': 40, 'probability': 0.6055, 'type': 'Organization', 'normalized_text': 'stanford'}]}","just fyi.. ucsf, uc berkeley and stanford are not leaving the bay area",2020-12-13T17:20:23.000Z,1338171924262735877,"{'retweet_count': 58, 'reply_count': 82, 'like_count': 1989, 'quote_count': 34}",
15,,"even w small % of severe reactions, across 10-100M vaccinations, there will be thousands of bad reactions incl anaphylaxis and possibly deaths, maybe unrelated/coincidental. media will cover these anecdotes, driving anti-vax sentiment.. i hope we can counter this narrative",2020-12-11T04:50:35.000Z,1337258454075904000,"{'retweet_count': 42, 'reply_count': 23, 'like_count': 503, 'quote_count': 10}",
16,,university endowments and public pension funds probably having their best quarter ever,2020-12-11T00:36:49.000Z,1337194593587097601,"{'retweet_count': 4, 'reply_count': 10, 'like_count': 134, 'quote_count': 0}",
17,"{'annotations': [{'start': 210, 'end': 215, 'probability': 0.3075, 'type': 'Place', 'normalized_text': '4deg C'}], 'mentions': [{'start': 0, 'end': 7, 'username': 'rsrdhr'}, {'start': 8, 'end': 14, 'username': 'Jason'}]}","@rsrdhr @Jason i think it will be the most widely used vaccine in the world + will be biggest driver for ending pandemic. tried+true technology. no reason to think performance data is sketchy. can be stored at 4deg C - easily transported.  follows standard protocol, grt for 3rd world",2020-12-10T17:30:48.000Z,1337087383720738816,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
18,"{'mentions': [{'start': 3, 'end': 13, 'username': 'Metromile'}]}","RT @Metromile: The usage-based insurance market is expected to grow 20% through 2026, and drivers are increasingly choosing Metromile amid…",2020-12-10T03:58:08.000Z,1336882868434321408,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597109358593', 'name': 'Insurance'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10042890484', 'name': 'Metromile'}}]"
19,"{'mentions': [{'start': 0, 'end': 10, 'username': 'koldpaws_'}, {'start': 11, 'end': 23, 'username': 'theallinpod'}, {'start': 24, 'end': 30, 'username': 'Jason'}, {'start': 31, 'end': 39, 'username': 'chamath'}, {'start': 40, 'end': 51, 'username': 'DavidSacks'}]}",@koldpaws_ @theallinpod @Jason @chamath @DavidSacks this is fantastic. just ordered. thx!,2020-12-10T01:19:21.000Z,1336842908406673408,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 26, 'quote_count': 1}",
20,"{'mentions': [{'start': 0, 'end': 6, 'username': 'sacca'}]}",@sacca it seems clinical apps are trailing the lab by many cycles/years .. the rate of advancement in discovery is accelerating while commercial opps are $1m+ treatment 10+ yrs later (marginal treatment cost maybe $100) equation of being cautious vs benefit of lives saved is clearly off,2020-12-06T00:20:18.000Z,1335378496567185410,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 17, 'quote_count': 0}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1052682432493703168', 'name': 'Chris Sacca', 'description': 'Chris Sacca'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857878777191211008', 'name': 'Leadership', 'description': 'Leadership'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857879456773357569', 'name': 'Technology', 'description': 'Technology'}}]"
21,"{'urls': [{'start': 289, 'end': 312, 'url': 'https://t.co/2WdJZ1IGwb', 'expanded_url': 'https://twitter.com/NEJM/status/1335358287865393152', 'display_url': 'twitter.com/NEJM/status/13…'}]}","patients w genetic diseases that cause blood disorders had blood cells removed &amp; DNA errors repaired w CRISPR (takes minutes, high hit rate) &amp; returned. remarkable results. genetic repair throughout body w clinical improvement. era of scalable repair of genetic disease is upon us https://t.co/2WdJZ1IGwb",2020-12-05T23:46:06.000Z,1335369888798404611,"{'retweet_count': 43, 'reply_count': 15, 'like_count': 384, 'quote_count': 6}",
22,"{'mentions': [{'start': 0, 'end': 12, 'username': 'JarrenFrame'}]}",@JarrenFrame yes certainly,2020-12-05T02:08:30.000Z,1335043336910958593,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
23,"{'mentions': [{'start': 0, 'end': 8, 'username': 'chamath'}]}",@chamath everyone had a rant this week,2020-12-04T02:44:50.000Z,1334690095174062080,"{'retweet_count': 0, 'reply_count': 7, 'like_count': 72, 'quote_count': 0}",
24,"{'mentions': [{'start': 0, 'end': 10, 'username': 'omidedwin'}, {'start': 11, 'end': 23, 'username': 'theallinpod'}]}",@omidedwin @theallinpod tomorrow!,2020-12-03T02:42:25.000Z,1334327097976754176,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",
25,"{'mentions': [{'start': 0, 'end': 12, 'username': 'thenamanpat'}, {'start': 13, 'end': 23, 'username': 'Metromile'}, {'start': 24, 'end': 32, 'username': 'chamath'}, {'start': 33, 'end': 40, 'username': 'mcuban'}, {'start': 72, 'end': 82, 'username': 'Metromile'}, {'start': 95, 'end': 103, 'username': 'danpres'}]}",@thenamanpat @Metromile @chamath @mcuban naman - thank you for trusting @Metromile! please let @danpres or i know if you have any issues with your experience or the service!,2020-11-30T21:19:11.000Z,1333520979994103808,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '809504745597476864', 'name': 'Mark Cuban', 'description': 'Mark Cuban'}}, {'domain': {'id': '92', 'name': 'Sports Personality', 'description': ""A Sports Personality like 'Skip Bayless'""}, 'entity': {'id': '809504745597476864', 'name': 'Mark Cuban', 'description': 'Mark Cuban'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597109358593', 'name': 'Insurance'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10042890484', 'name': 'Metromile'}}]"
26,"{'mentions': [{'start': 0, 'end': 11, 'username': 'robleclerc'}]}",@robleclerc don’t be such a buzzkill ;),2020-11-30T17:28:45.000Z,1333462986745233408,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",
27,,we can already write genetic code to make proteins. now we are on the cusp of figuring out what code to write to create the proteins we need to achieve goals in the physical/nanoscale world. this could unlocks decades of human progress,2020-11-30T17:04:15.000Z,1333456823441977344,"{'retweet_count': 5, 'reply_count': 5, 'like_count': 92, 'quote_count': 1}",
28,,"predicting the relationship btwn genetic code and the physical structure of resulting protein equips humans w tooling needed to realize designer proteins for treating disease, extending lifespan, nitrogen fixation, carbon capture, and many other radical but now realistic opps...",2020-11-30T17:04:15.000Z,1333456822296952833,"{'retweet_count': 6, 'reply_count': 2, 'like_count': 56, 'quote_count': 1}",
29,"{'urls': [{'start': 210, 'end': 233, 'url': 'https://t.co/DTDg9S2l08', 'expanded_url': 'https://twitter.com/demishassabis/status/1333434924049772545', 'display_url': 'twitter.com/demishassabis/…'}]}",kudos to deepmind &amp; alphabet. predictive power of alphafold is now within margin of error of the actual physical measurement of protein structure. the implications of this advancement can’t be overstated.. https://t.co/DTDg9S2l08,2020-11-30T17:04:15.000Z,1333456820820557825,"{'retweet_count': 34, 'reply_count': 5, 'like_count': 316, 'quote_count': 3}",
30,"{'mentions': [{'start': 0, 'end': 14, 'username': 'phil_hellmuth'}, {'start': 15, 'end': 25, 'username': 'Metromile'}]}",@phil_hellmuth @Metromile thanks for the shout out philski! my next goal in life is to deliver you a losing year at the home game next year! ;),2020-11-24T23:13:14.000Z,1331375351121858561,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}","[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597109358593', 'name': 'Insurance'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10042890484', 'name': 'Metromile'}}]"
31,"{'annotations': [{'start': 188, 'end': 190, 'probability': 0.8538, 'type': 'Organization', 'normalized_text': 'NPS'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'thenamanpat'}, {'start': 13, 'end': 23, 'username': 'Metromile'}, {'start': 24, 'end': 32, 'username': 'chamath'}, {'start': 33, 'end': 40, 'username': 'mcuban'}]}","@thenamanpat @Metromile @chamath @mcuban totally get it. that relationship ended beginning in 2017 when metromile bought a carrier and brought claims in house. most recent customer claims NPS is 75 due to ease, automation and great customer service. hope you’ll take another look!",2020-11-24T15:06:31.000Z,1331252866573430784,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 30, 'quote_count': 0}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '809504745597476864', 'name': 'Mark Cuban', 'description': 'Mark Cuban'}}, {'domain': {'id': '92', 'name': 'Sports Personality', 'description': ""A Sports Personality like 'Skip Bayless'""}, 'entity': {'id': '809504745597476864', 'name': 'Mark Cuban', 'description': 'Mark Cuban'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597109358593', 'name': 'Insurance'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10042890484', 'name': 'Metromile'}}]"
32,"{'mentions': [{'start': 0, 'end': 7, 'username': 'aakznd'}, {'start': 8, 'end': 18, 'username': 'Metromile'}, {'start': 19, 'end': 27, 'username': 'chamath'}, {'start': 28, 'end': 35, 'username': 'mcuban'}]}",@aakznd @Metromile @chamath @mcuban someone needs to provide cheaper insurance to owners of those cars as that happens!,2020-11-24T14:17:02.000Z,1331240412401463297,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 16, 'quote_count': 0}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '809504745597476864', 'name': 'Mark Cuban', 'description': 'Mark Cuban'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '847888632711061504', 'name': 'Personal finance', 'description': 'Personal finance'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1037076317722763265', 'name': 'Insurance', 'description': 'Insurance'}}, {'domain': {'id': '92', 'name': 'Sports Personality', 'description': ""A Sports Personality like 'Skip Bayless'""}, 'entity': {'id': '809504745597476864', 'name': 'Mark Cuban', 'description': 'Mark Cuban'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597109358593', 'name': 'Insurance'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10042890484', 'name': 'Metromile'}}]"
33,"{'cashtags': [{'start': 56, 'end': 61, 'tag': 'INAQ'}], 'mentions': [{'start': 17, 'end': 27, 'username': 'Metromile'}, {'start': 67, 'end': 75, 'username': 'chamath'}, {'start': 109, 'end': 116, 'username': 'mcuban'}], 'urls': [{'start': 228, 'end': 251, 'url': 'https://t.co/bIH5LSysOx', 'expanded_url': 'https://assets.metromile.com/wp-content/uploads/2020/11/24120556/Ext-Investor-Preso-vFinal.pdf', 'display_url': 'assets.metromile.com/wp-content/upl…'}]}",i’m thrilled for @metromile to be going public via SPAC $INAQ with @chamath leading the $160M PIPE alongside @mcuban and other leading investors. next step on what’s been a great 9 year journey. investor presentation w details: https://t.co/bIH5LSysOx,2020-11-24T14:04:55.000Z,1331237364883099648,"{'retweet_count': 27, 'reply_count': 36, 'like_count': 611, 'quote_count': 29}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '809504745597476864', 'name': 'Mark Cuban', 'description': 'Mark Cuban'}}, {'domain': {'id': '92', 'name': 'Sports Personality', 'description': ""A Sports Personality like 'Skip Bayless'""}, 'entity': {'id': '809504745597476864', 'name': 'Mark Cuban', 'description': 'Mark Cuban'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597109358593', 'name': 'Insurance'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10042890484', 'name': 'Metromile'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857878402157629440', 'name': 'Investors and patents', 'description': 'Investors and patents'}}]"
34,,"162 new c+ cases in sf yday., assuming 1/2 of cases are detected (sf is great testing capacity) and 5-day avg infectious period, there are 1,620 sf residents actively infectious, or 1 in 500 ppl. not evenly distributed (5:1 differential btwn high &amp; low risk neighborhoods)",2020-11-16T21:43:02.000Z,1328453551740178432,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 43, 'quote_count': 0}",
35,"{'urls': [{'start': 275, 'end': 298, 'url': 'https://t.co/mn5Z5IY1Pa', 'expanded_url': 'https://twitter.com/NateSilver538/status/1328057404722999300', 'display_url': 'twitter.com/NateSilver538/…'}]}","nate silver ftw. if you synthesize the seroprevalence data from various research papers and extrapolate what positive test data since then means/show, you can estimate how many ppl have been infected in total. in many states, we may be approaching a herd immunity threshold. https://t.co/mn5Z5IY1Pa",2020-11-16T16:40:13.000Z,1328377342142496781,"{'retweet_count': 3, 'reply_count': 6, 'like_count': 55, 'quote_count': 1}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1054488646965850112', 'name': 'Nate Silver', 'description': 'Nate Silver'}}, {'domain': {'id': '94', 'name': 'Journalist', 'description': ""A journalist like 'Anderson Cooper'""}, 'entity': {'id': '1054488646965850112', 'name': 'Nate Silver', 'description': 'Nate Silver'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
36,"{'mentions': [{'start': 0, 'end': 12, 'username': 'ekriessmann'}]}",@ekriessmann running for office in sf means running on a “Shared Sacrifice” platform. everyone will hate the winner,2020-11-07T01:51:55.000Z,1324892306965590016,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",
37,"{'mentions': [{'start': 0, 'end': 11, 'username': 'martygberg'}]}",@martygberg comes down by ~25% but the apples-to-apples is still hard as embedded costs in other cities to map to sf readily either,2020-11-06T22:15:21.000Z,1324837804128444417,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 4, 'quote_count': 0}",
